kan_name,kou_name,moku_name,setsu_layer1_name,setsu_layer2_name,setsumei_layer1_name,setsumei_layer2_name,setsumei_layer3_name,amount_2025,amount_2026,増減額,増減率,状態,増減額順位
農林水産業費,農業費,農業振興費,,,農業振興費,茶業推進事業費,,3614,13757,10143,280.7,増額,512
農林水産業費,農業費,農業振興費,,,農業振興費,茶業推進事業費,富士のお茶振興推進事業補助金,873,873,0,0,横ばい,3573
農林水産業費,農業費,農業振興費,,,農業振興費,茶業推進事業費,市茶手揉保存会育成補助金,400,400,0,0,横ばい,3574
農林水産業費,農業費,農業振興費,,,農業振興費,茶業推進事業費,富士のお茶販路拡大支援補助金,1500,1400,-100,-6.7,減額,4968
農林水産業費,農業費,農業振興費,,,農業振興費,茶業推進事業費,世界緑茶協会負担金,160,160,0,0,横ばい,3575
農林水産業費,農業費,農業振興費,,,農業振興費,茶業推進事業費,おにぎり協会負担金,400,400,0,0,横ばい,3576
農林水産業費,農業費,農業振興費,,,農業振興費,地産地消推進事業費,,120,120,0,0,横ばい,3577
農林水産業費,農業費,農業振興費,,,農業振興費,地産地消推進事業費,学校給食等地場産品導入事業補助金,120,120,0,0,横ばい,3578
農林水産業費,農業費,農業振興費,,,農業振興費,農林水産業表彰事業費,,212,221,9,4.2,増額,2786
農林水産業費,農業費,農業振興費,,,農業振興費,農林水産業表彰事業費,農林水産業表彰,,,,,不明,
農林水産業費,農業費,農業振興費,,,農業振興費,鳥獣被害対策事業費,,6112,6112,0,0,横ばい,3579
農林水産業費,農業費,農業振興費,,,農業振興費,鳥獣被害対策事業費,鳥獣被害防止総合対策事業費補助金,3963,3963,0,0,横ばい,3580
農林水産業費,農業費,農業振興費,,,農業振興費,鳥獣被害対策事業費,農作物被害対策事業補助金,450,450,0,0,横ばい,3581
農林水産業費,農業費,農業振興費,,,農業振興費,鳥獣被害対策事業費,農作物被害対策防除事業費補助金,1300,1400,100,7.7,増額,2204
農林水産業費,農業費,農業振興費,,,農業振興費,鳥獣被害対策事業費,小動物等被害対策捕獲事業補助金,338,238,-100,-29.6,減額,4969
農林水産業費,農業費,農業振興費,,,農業振興費,鳥獣被害対策事業費,わな猟免許取得費補助金,61,61,0,0,横ばい,3582
農林水産業費,農業費,農業振興費,,,遊休農地活用事業費,,,1871,1874,3,0.2,増額,2906
農林水産業費,農業費,農業振興費,,,遊休農地活用事業費,ファミリー農園事業費,,475,489,14,2.9,増額,2697
農林水産業費,農業費,農業振興費,,,遊休農地活用事業費,ファミリー農園事業費,"農園用農地借上　　7か所　7,231㎡",,,,,不明,
農林水産業費,農業費,農業振興費,,,遊休農地活用事業費,農業アカデミー事業費,,396,385,-11,-2.8,減額,4477
農林水産業費,農業費,農業振興費,,,遊休農地活用事業費,農業アカデミー事業費,農業アカデミー運営事業,,,,,不明,
農林水産業費,農業費,農業振興費,,,遊休農地活用事業費,農業アカデミー事業費,"農地借上　　　　　1か所　1,262㎡",,,,,不明,
農林水産業費,農業費,農業振興費,,,遊休農地活用事業費,農業アカデミー事業費,農福連携事業,,,,,不明,
農林水産業費,農業費,農業振興費,,,遊休農地活用事業費,荒廃農地再生利用対策事業費,,1000,1000,0,0,横ばい,3583
農林水産業費,農業費,農業振興費,,,遊休農地活用事業費,荒廃農地再生利用対策事業費,荒廃農地再生・集積促進事業費補助金,1000,1000,0,0,横ばい,3584
農林水産業費,農業費,畜産業費,,,,,,75,42,-33,-44,減額,4686
農林水産業費,農業費,畜産業費,旅費,,,,,9,9,0,0,横ばい,3585
農林水産業費,農業費,畜産業費,旅費,普通旅費,,,,9,9,0,0,横ばい,3586
農林水産業費,農業費,畜産業費,需用費,,,,,17,17,0,0,横ばい,3587
農林水産業費,農業費,畜産業費,需用費,消耗品費,,,,17,17,0,0,横ばい,3588
農林水産業費,農業費,畜産業費,負担金、補助及び交付金,,,,,49,16,-33,-67.3,減額,4687
農林水産業費,農業費,畜産業費,負担金、補助及び交付金,負担金,,,,49,16,-33,-67.3,減額,4688
農林水産業費,農業費,畜産業費,,,畜産業振興費,,,75,42,-33,-44,減額,4689
農林水産業費,農業費,畜産業費,,,畜産業振興費,畜産業振興事業費,,75,42,-33,-44,減額,4690
農林水産業費,農業費,畜産業費,,,畜産業振興費,畜産業振興事業費,家畜疾病予防消毒薬購入,,,,,不明,
農林水産業費,農業費,畜産業費,,,畜産業振興費,畜産業振興事業費,東部家畜保健衛生推進協議会会費,16,16,0,0,横ばい,3589
農林水産業費,農業費,畜産業費,,,畜産業振興費,畜産業振興事業費,県食肉センター再編整備事業負担金,33,0,-33,-100,廃止,4691
農林水産業費,農業費,土地改良費,,,,,,274551,279813,5262,1.9,増額,724
農林水産業費,農業費,土地改良費,給料,,,,,17166,17724,558,3.3,増額,1516
農林水産業費,農業費,土地改良費,職員手当等当,,,,,11266,12436,1170,10.4,増額,1240
農林水産業費,農業費,土地改良費,職員手当等当,扶養手当,,,,534,1194,660,123.6,増額,1442
農林水産業費,農業費,土地改良費,職員手当等当,地域手当,,,,531,757,226,42.6,増額,1893
農林水産業費,農業費,土地改良費,職員手当等当,住居手当,,,,672,336,-336,-50,減額,5259
農林水産業費,農業費,土地改良費,職員手当等当,通勤手当,,,,299,377,78,26.1,増額,2285
農林水産業費,農業費,土地改良費,職員手当等当,時間外勤務手,,,,1730,1730,0,0,横ばい,3590
農林水産業費,農業費,土地改良費,職員手当等当,休日勤務手当,,,,50,50,0,0,横ばい,3591
農林水産業費,農業費,土地改良費,職員手当等当,期末手当,,,,4101,4459,358,8.7,増額,1703
農林水産業費,農業費,土地改良費,職員手当等当,勤勉手当,,,,3349,3533,184,5.5,増額,1976
農林水産業費,農業費,土地改良費,共済費,,,,,5680,5871,191,3.4,増額,1964
農林水産業費,農業費,土地改良費,旅費,,,,,52,33,-19,-36.5,減額,4567
農林水産業費,農業費,土地改良費,旅費,普通旅費,,,,41,22,-19,-46.3,減額,4568
農林水産業費,農業費,土地改良費,旅費,特別旅費,,,,11,11,0,0,横ばい,3592
